,P5,P10,P16,P25,P50,P75,P84,P90,P95
images/11_2.JPG,15.1416425277966,24.500724383372397,36.001051208765205,53.5853773698742,115.97375834711,194.44386946738098,229.71459173032997,256.89822318911,283.48096422125
images/13_2.JPG,13.345256297349401,21.5386549343478,31.960518426881197,48.376359170412904,108.333250248792,200.86931527929403,238.428862298607,263.498222687725,286.59111450195
images/16.JPG,14.4295190347807,23.6297088586539,35.047787674907106,54.1421949504222,113.800159967774,200.47120027570702,235.299487798139,262.376591981936,287.961982847209
images/2_0.JPG,9.840179069821449,14.056999665474802,19.1066625244545,27.0280811113206,56.641022036110705,123.791690706962,172.84225117758203,215.715969215797,259.444909987314
images/2_1.JPG,9.379327937822712,13.7017468967112,19.1841463802096,27.940242888249603,60.4597352851516,119.762638896625,152.420921560046,180.558549514247,209.341451119746
images/2_36.JPG,12.2006230152477,17.3487216027608,23.1764993073014,31.918140265141396,61.82023545282121,122.707501298069,170.364245225389,217.562448722117,263.38231210143397
images/2_8.JPG,12.503375252049802,17.8848341558789,23.9418747029235,33.490955884246695,68.02565501126121,133.77895469234198,184.186333695355,226.267107179091,267.548745920164
images/3_35.JPG,11.4157185106102,16.5853262288735,22.6976010497836,32.2577169947078,70.2297186359405,145.701656165888,195.114379423356,232.473763893338,270.418308838006
images/4_75.JPG,13.639562569219999,20.1687365317186,27.6179229318819,38.6798733796731,77.0997193510353,155.139674825253,198.13063722802798,233.74377977410302,270.56746588534804
images/4.JPG,13.107879551301,19.3998486135424,26.6460494472365,37.5903305838515,75.6786112775092,150.290420281529,193.16712236908901,228.887682784888,265.45275102017104
images/5_6.JPG,13.8433293570385,21.071578968312103,29.401496223082,41.5191729592519,85.47623997023341,165.181045493628,204.200530346366,238.81449812718103,273.934302465908
images/6_7.JPG,14.968392368792902,23.164456285229896,32.4369945127275,46.0465823492999,91.07084340425709,175.46229244404302,215.723773003251,247.039426572875,277.602019775871
images/8.JPG,13.8410843436814,22.0162397386053,32.3820773126766,48.465074690180394,101.096226946341,180.42750149021902,223.83335768598,257.21032181418997,285.138594998744
images/9_5.JPG,15.108814278675402,24.4286500049394,35.213320411667205,50.598337855553105,101.072739691362,181.908297294528,217.34047057053002,245.359721980075,276.405339252548
images/BarPhotos_2013_Site3_Frame2_crop.JPG,13.762142379816199,21.903760224213702,32.1543363307704,49.9434616635308,118.08942076349,239.89007381442997,336.329893342033,426.096539119395,525.801331034141
images/bed1.JPG,12.0091038659217,19.356818875716897,29.736619769721102,48.31738796989801,125.240705643242,268.108808307245,344.518342176878,417.30429777434404,487.244380522903
images/bed2.JPG,11.9847771720006,19.2733131084695,29.8562257329029,49.288887929686794,131.075332572728,282.925097260434,354.89643306833295,411.055813852764,473.965388516392
images/bed3.JPG,11.474349593335099,17.9620495692179,26.7012699119487,41.8276099708021,109.46929751768299,251.77437662717898,333.25899236195204,399.896013295654,470.709859181415
images/bed4.JPG,10.5461527925589,15.8760004796324,23.0878541988748,36.000489312814004,96.736189448339,232.617075376141,314.724852362891,383.78209218499296,461.79872103340995
images/bed5.JPG,10.47970667259,15.977741945537,23.7006324603656,38.3646778236246,109.22966841248501,263.956754096723,351.10337398069,417.441167306446,481.880511700858
images/bed6.JPG,12.903499301178998,20.494063697367498,30.164562472624198,46.8723245036886,113.99860995551701,254.88515160131197,342.96352277077597,409.59027326113295,479.113013689695
images/DGS_Feather_DGS_Patch_001.JPG,10.9549660726389,15.895613589706098,21.904340549900898,31.737462486273,68.4554060197826,154.487657650438,217.845282804595,281.001026425157,349.61209843905897
images/IMG_9335.JPG,10.4492909545205,15.7204984848045,22.875498592100502,35.51336255045221,93.01529869521922,217.10839307542,300.229875841832,390.93077191242895,489.23196930816397
images/IMG_9345.JPG,11.895152139386001,17.9401258305388,25.194062434681896,37.1860451443761,89.04800297023621,221.787476232286,312.584804355119,390.26517651203795,482.55641597697195
images/IMG_9348.JPG,12.8162259171665,19.71852419597,28.083870011684198,42.0484425586852,97.87144990838051,224.300242582886,319.742430352094,415.553833034614,507.397361353414
images/IMG_9353.JPG,9.899799706207759,14.923822072279199,21.5943509406966,33.1958170553957,86.7363340352746,237.740198597798,328.978592585633,409.38254294938304,501.102891237233
images/IMG_9354.JPG,9.8647469953266,14.6587686142606,21.298211299469102,33.3582664824285,91.51090742522621,219.62389474001301,306.315054355556,385.276632409903,485.50994564740995
images/IMG_9394.JPG,11.522473976591499,17.039819389827098,23.7740131327674,34.6524749237888,76.6204771530739,180.590949205374,270.198832892234,356.468601126651,458.84388734603897
images/IMG_9395.JPG,8.71171392226795,11.6841277784351,15.324312694070198,21.4393073181507,47.79463482765579,126.339916371298,193.987083488833,270.808424054475,412.80981921469396
images/IMG_9396.JPG,16.4506338468851,25.303606811027304,34.95853331643,49.421434608268605,100.215864204678,200.46273905263402,269.405803675403,340.753220136749,435.42869657183405
images/seriesC2_endrun_16.JPG,11.8360715752789,17.862334126593602,25.269212024029198,36.880078563193294,76.5019924690508,142.839527206294,185.45080473661,223.600334617254,264.971673975077
images/seriesC2_endrun_17.JPG,13.4729269836002,21.2561245416284,30.9977047770128,46.310979105261204,94.8508410007025,172.114090043525,216.246661685384,251.365307138163,282.180438086614
images/seriesC2_endrun_18.JPG,11.810180997279101,18.0949258137661,25.800223521555502,37.950794552072395,81.85808198697549,152.054781498269,192.508855052393,230.96753027578603,269.907510829197
images/seriesC2_endrun_19.JPG,12.837748825715,20.128435822478302,28.886531548944397,43.25040050178799,96.17470044354,164.456506354309,205.28840341541698,240.030319631097,273.720546426736
images/seriesC2_endrun_20.JPG,11.6626777868858,18.0535189790147,26.371401296237,40.306506585608204,93.37161141725589,176.03880581608,213.94788309681198,243.263173388056,274.44166020745604
images/seriesC2_endrun_21.JPG,14.4579459844206,22.9547230047785,33.1923407573159,50.59667006786861,109.621287146532,188.167248076606,222.04575848253998,251.062778573353,282.907497916691
