files,shape
images/0017_cu_2.jpg,2
images/0024_makro.JPG,2
images/0026_makro.jpg,1
images/0028_makro.JPG,2
images/0029_1_Bali.JPG,2
images/0041_cu_1.jpg,1
images/0053_Makro.png,0
images/0055_cu_2.jpg,2
images/0062_cu_1.jpg,2
images/0070_cu_1.jpg,0
images/0079_cu_2.jpg,3
images/0094_cu_1.jpg,0
images/0095_cu_2.jpg,2
images/0124_cu_1.jpg,3
images/0132-makro.jpg,1
images/0133_cu_2.jpg,2
images/0151_cu_2.jpg,2
images/0177_cu_1.jpg,2
images/0177_cu_2.jpg,2
images/0185_cu_2.jpg,2
images/0210_cu_1.jpg,2
images/0242_cu_2.jpg,3
images/0247_cu_1.jpg,2
images/0286_cu_2.jpg,2
images/0315_cu_2.jpg,2
images/0330.jpg,2
images/0354_cu_2.jpg,2
images/0413_cu_1.jpg,1
images/0434_cu_1.jpg,2
images/0434_cu_2.jpg,2
images/0453_cu_2.jpg,2
images/0463_cu_1.jpg,3
images/0463_cu_2.jpg,2
images/047020139.tiff,1
images/047080139.tiff,1
images/047140138.tiff,1
images/047200139.tiff,1
images/0477.jpg,2
images/048020138.tiff,1
images/048080139.tiff,1
images/048140139.tiff,1
images/048200139.tiff,1
images/0483_cu_1.jpg,0
images/049020138.tiff,1
images/049080139.tiff,1
images/049140138.tiff,1
images/049200139.tiff,1
images/0551_cu_1.jpg,3
images/0782_cu_1.jpg,2
images/0819_cu_2.jpg,2
images/0839_cu_1.jpg,3
images/0843_cu_1.jpg,2
images/0913_cu_2.jpg,1
images/0947_cu_1.jpg,2
images/1_2.JPG,2
images/10_2.JPG,2
images/1001.jpg,2
images/1002.jpg,3
images/1005.jpg,3
images/1006.jpg,2
images/1013.jpg,2
images/1041.jpg,0
images/1047.jpg,2
images/1067.jpg,2
images/1073.jpg,2
images/1074.jpg,3
images/1085.jpg,1
images/1087.jpg,3
images/1088.jpg,0
images/1090.jpg,2
images/11_2.JPG,0
images/1172_2.jpg,2
images/1172.jpg,2
images/1292.jpg,0
images/13_2.JPG,0
images/1409.jpg,0
images/14091.jpg,0
images/1422.jpg,1
images/1434.jpg,2
images/1435.jpg,0
images/14351.jpg,0
images/1442.jpg,0
images/1448.jpg,2
images/14481.jpg,2
images/1450.jpg,2
images/1455.jpg,2
images/1457.jpg,2
images/1459.jpg,0
images/14591.jpg,0
images/1463.jpg,3
images/1465.jpg,3
images/1467.jpg,3
images/1472.jpg,2
images/152.jpg,2
images/1552.jpg,3
images/15521.jpg,3
images/156.jpg,0
images/1571.jpg,3
images/1590.jpg,2
images/1591.jpg,2
images/1595.jpg,2
images/15951.jpg,2
images/15952.jpg,2
images/15953.jpg,3
images/15954.jpg,2
images/16.JPG,0
images/160.jpg,2
images/1611.jpg,3
images/16111.jpg,3
images/16112.jpg,3
images/1613.jpg,0
images/166.jpg,3
images/17_1.JPG,2
images/171.jpg,2
images/186.jpg,3
images/1976.jpg,2
images/2_0.JPG,0
images/2_1.JPG,2
images/2_36.JPG,0
images/2_8.JPG,0
images/20151002_SJENN3_edit_0.05res.jpg,0
images/2088.jpg,0
images/2106.jpg,0
images/2154.jpg,0
images/2160.jpg,2
images/2165.jpg,2
images/2185.jpg,2
images/2189.jpg,3
images/2204.jpg,2
images/2207.jpg,2
images/225.jpg,3
images/226.jpg,3
images/228.jpg,0
images/229.jpg,2
images/2295.jpg,2
images/2296.jpg,3
images/2298.jpg,2
images/2302.jpg,2
images/2323.jpg,2
images/2325.jpg,2
images/2326.jpg,2
images/2327.jpg,2
images/2328.jpg,3
images/2333.jpg,2
images/2334.jpg,2
images/2340.jpg,2
images/2345.jpg,2
images/2346.jpg,0
images/2349.jpg,2
images/255.jpg,0
images/258.jpg,3
images/264.jpg,2
images/267.jpg,2
images/269.jpg,0
images/2695.jpg,3
images/2696.jpg,2
images/2697.jpg,3
images/2698.jpg,3
images/2699.jpg,2
images/2701.jpg,2
images/2704.jpg,2
images/2705.jpg,0
images/2706.jpg,3
images/2710.jpg,3
images/2712.jpg,2
images/2713.jpg,0
images/2720.jpg,0
images/2721.jpg,2
images/2729.jpg,3
images/2738.jpg,0
images/2741.jpg,2
images/2742.jpg,3
images/2744.jpg,3
images/2747.jpg,0
images/275.jpg,1
images/2750.jpg,3
images/2751.jpg,2
images/278.jpg,2
images/279.jpg,2
images/280.jpg,2
images/283.jpg,2
images/289.jpg,2
images/3_35.JPG,0
images/312.jpg,0
images/329.jpg,3
images/330.jpg,2
images/344.jpg,3
images/348.jpg,3
images/356.jpg,3
images/363.jpg,2
images/378.jpg,0
images/389.jpg,3
images/393.jpg,3
images/4_75.JPG,0
images/4.JPG,0
images/5_6.JPG,0
images/6_7.JPG,0
images/636.jpg,1
images/637-5.jpg,2
images/654.jpg,2
images/655.jpg,3
images/657.jpg,3
images/658.jpg,0
images/664.jpg,2
images/671.jpg,3
images/675.jpg,2
images/722.jpg,3
images/738.jpg,0
images/739.jpg,0
images/8.JPG,0
images/802.jpg,3
images/809.jpg,3
images/811.jpg,0
images/832.jpg,0
images/863.jpg,3
images/882.jpg,0
images/888.jpg,0
images/889.jpg,3
images/9_5.JPG,0
images/BarPhotos_2013_Site3_Frame2_crop.JPG,2
images/Barthol_Rotalgen_mak.JPG,2
images/bed1.JPG,2
images/bed2.JPG,2
images/bed3.JPG,2
images/bed4.JPG,3
images/bed5.JPG,2
images/bed6.JPG,2
images/Cal_01.tif,0
